Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
ME 250,Introduction to Engineering Design and Graphics,3,12457,LEC,12:00 PM - 12:50 PM,3,"Siow, Y",On Campus,Fall,2015,Afternoon,50
ME 250,Introduction to Engineering Design and Graphics,3,35096,LEC,10:00 AM - 10:50 AM,3,"Siow, Y",On Campus,Fall,2015,Morning,50
ME 250,Introduction to Engineering Design and Graphics,3,36752,LEC,02:00 PM - 02:50 PM,3,"Szwalek, J",On Campus,Fall,2015,Afternoon,50
ME 250,Introduction to Engineering Design and Graphics,3,38912,LEC,09:30 AM - 10:45 AM,2,"Scott, M",On Campus,Fall,2015,Morning,75
ME 261,Materials for Manufacturing,2,12472,LCD,04:00 PM - 04:50 PM,3,"Karpov, E",On Campus,Fall,2015,Afternoon,50
ME 308,Mechanical Vibrations,3,29574,LCD,12:00 PM - 12:50 PM,3,"Szwalek, J",On Campus,Fall,2015,Afternoon,50
ME 312,Dynamic Systems and Control,3,22457,LCD,03:00 PM - 03:50 PM,3,"Berniker, M",On Campus,Fall,2015,Afternoon,50
ME 320,Mechanisms and Dynamics of Machinery,4,12477,LCD,02:00 PM - 03:40 PM,2,"Szwalek, J",On Campus,Fall,2015,Afternoon,100
ME 321,Heat Transfer,4,12488,LCD,10:00 AM - 10:50 AM,3,"Manafzadeh, S",On Campus,Fall,2015,Morning,50
ME 325,Intermediate Thermodynamics,3,12491,LCD,02:00 PM - 02:50 PM,3,"Manafzadeh, S",On Campus,Fall,2015,Afternoon,50
ME 325,Intermediate Thermodynamics,3,39117,LCD,04:00 PM - 04:50 PM,3,"Manafzadeh, S",On Campus,Fall,2015,Afternoon,50
ME 341,Experimental Methods in Mechanical Engineering,3,12500,LEC,12:00 PM - 12:50 PM,2,"Cha, S",On Campus,Fall,2015,Afternoon,50
ME 341,Experimental Methods in Mechanical Engineering,3,36969,LEC,01:00 PM - 01:50 PM,2,"Cha, S",On Campus,Fall,2015,Afternoon,50
ME 370,Mechanical Engineering Design,3,33053,LCD,05:00 PM - 06:15 PM,2,"Brown, M",On Campus,Fall,2015,Evening,75
ME 380,Manufacturing Process Principles,3,12554,LCD,09:00 AM - 09:50 AM,3,"Abiade, J",On Campus,Fall,2015,Morning,50
ME 396,Senior Design I,2,12555,LCD,12:30 PM - 01:20 PM,2,"Brown, M",On Campus,Fall,2015,Afternoon,50
ME 396,Senior Design I,2,37914,LCD,05:30 PM - 06:20 PM,2,"Komperda, J",On Campus,Fall,2015,Evening,50
ME 397,Senior Design Il,2,38146,LCD,ARRANGED,0,"Brown, M",On Campus,Fall,2015,N/A,0
ME 397,Senior Design Il,2,38145,LCD,09:30 AM - 10:20 AM,2,"Brown, M",On Campus,Fall,2015,Morning,50
ME 401,Applied Stress Analysis I,3,39125,LCD,ARRANGED,0,N/A,On Campus,Fall,2015,N/A,0
ME 401,Applied Stress Analysis I,3,39143,LCD,09:00 AM - 09:50 AM,3,"Hatami Marbini, H",On Campus,Fall,2015,Morning,50
ME 401,Applied Stress Analysis I,3,39144,LCD,09:00 AM - 09:50 AM,3,"Hatami Marbini, H",On Campus,Fall,2015,Morning,50
ME 401,Applied Stress Analysis I,3,32254,LCD,10:00 AM - 10:50 AM,3,"Hatami Marbini, H",On Campus,Fall,2015,Morning,50
ME 401,Applied Stress Analysis I,3,32255,LCD,10:00 AM - 10:50 AM,3,"Hatami Marbini, H",On Campus,Fall,2015,Morning,50
ME 411,Mechatronics I,0,32259,LEC,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Fall,2015,Afternoon,75
ME 411,Mechatronics I,0,32260,LEC,04:00 PM - 05:15 PM,2,"Cetinkunt, S",On Campus,Fall,2015,Afternoon,75
ME 411,Mechatronics I,0,39091,LEC,07:00 PM - 08:15 PM,2,N/A,On Campus,Fall,2015,Evening,75
ME 411,Mechatronics I,0,39092,LEC,07:00 PM - 08:15 PM,2,N/A,On Campus,Fall,2015,Evening,75
ME 421,Intermediate Heat Transfer,3,12506,LEC,11:00 AM - 11:50 AM,3,"Manafzadeh, S",On Campus,Fall,2015,Morning,50
ME 421,Intermediate Heat Transfer,3,20381,LEC,11:00 AM - 11:50 AM,3,"Manafzadeh, S",On Campus,Fall,2015,Morning,50
ME 424,Energy Management Solutions for Industry: Theory and Practice,3,32699,LEC,06:00 PM - 08:30 PM,1,"Ryan, W",On Campus,Fall,2015,Evening,150
ME 424,Energy Management Solutions for Industry: Theory and Practice,3,32700,LEC,06:00 PM - 08:30 PM,1,"Ryan, W",On Campus,Fall,2015,Evening,150
