YEAR,SEMESTER,CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,DFR,I,NR,S,U,W,Primary Instructor,Grade Regs
2021,Spring,CS,583,Data Mining & Text Mining,2699,Computer Science,17,11,0,0,0,0,0,0,0,0,0,"Liu, Bing",28
2021,Spring,CS,587,Computer Systems Security,2699,Computer Science,11,4,0,0,0,0,0,0,0,0,0,"Solworth, Jon A",15
2021,Spring,CS,594,Deep Learn. for Comp. Vision,2699,Computer Science,22,6,0,0,0,0,0,0,0,0,0,"Tang, Wei",28
2021,Spring,CS,594,NLP for Social Media,2699,Computer Science,9,1,0,0,2,0,0,0,0,0,0,"Di Eugenio, Barbara",12
2021,Spring,CS,594,Secure Computation,2699,Computer Science,11,0,0,0,0,0,0,0,0,0,0,"Miao, Peihan",11
2021,Spring,IT,202,Web & Multimedia Technology,2699,Computer Science,12,4,0,10,5,0,3,0,0,0,6,"Hayes, David P",40
2021,Summer,CS,100,Discovering Computer Science,2699,Computer Science,32,0,0,0,0,0,0,0,0,0,0,"Parker, Kendal",32
2021,Summer,CS,109,Prog for Engineers w/MatLab,2699,Computer Science,25,10,1,0,0,0,0,0,0,0,0,"Reckinger, Scott J",36
2021,Summer,CS,111,Program Design I,2699,Computer Science,26,4,2,3,1,0,4,0,0,0,1,"Reckinger, Shanon Marie",41
2021,Summer,CS,141,Program Design II,2699,Computer Science,27,10,5,0,7,0,0,0,0,0,4,"Koehler, Adam Thomas",53
2021,Summer,CS,251,Data Structures,2699,Computer Science,24,24,10,6,0,0,0,14,0,0,6,"Lillis, John P",84
2021,Summer,CS,301,Languages and Automata,2699,Computer Science,7,10,4,4,6,0,0,0,0,0,9,"Grechanik, Mark",40
2021,Summer,CS,478,Development of Mobile Apps,2699,Computer Science,21,11,7,5,5,0,1,0,0,0,4,"Hallenbeck, Mark",54
2021,Summer,CS,480,Database Systems,2699,Computer Science,41,7,6,2,4,0,0,0,0,0,2,"Diazh, Diana Mabel",62
2021,Fall,CS,100,Discovering Computer Science,2699,Computer Science,39,19,13,7,2,0,0,0,0,0,16,"Kidane, Ellen G",96
2021,Fall,CS,107,Intro Comp & Programming,2699,Computer Science,36,24,21,2,8,0,0,0,0,0,5,"Reckinger, Scott J",96
2021,Fall,CS,109,Prog for Engineers w/MatLab,2699,Computer Science,91,66,40,10,30,0,0,0,0,0,37,"Koehler, Adam Thomas",274
2021,Fall,CS,111,Program Design I,2699,Computer Science,69,72,44,16,33,0,27,0,0,0,20,"Hayes, David P",281
2021,Fall,CS,141,Program Design II,2699,Computer Science,20,29,15,2,14,0,0,0,0,0,13,"Fulton, Christopher",93
2021,Fall,CS,141,Program Design II,2699,Computer Science,19,25,12,14,13,0,0,0,0,0,11,"Kidane, Ellen G",94
2021,Fall,CS,141,Program Design II,2699,Computer Science,32,22,13,4,16,0,0,0,0,0,6,"Reed, Dale F",93
2021,Fall,CS,151,Foundations of Computing,2699,Computer Science,119,56,34,24,43,0,3,0,0,0,33,"Bello Lander, Gonzalo Alejandro",312
2021,Fall,CS,211,Programming Practicum,2699,Computer Science,45,55,20,13,26,0,0,0,0,0,19,"Lillis, John P",178
2021,Fall,CS,211,Programming Practicum,2699,Computer Science,32,25,22,15,10,0,0,0,0,0,12,"Troy, Patrick A",116
2021,Fall,CS,251,Data Structures,2699,Computer Science,36,34,27,14,31,0,0,0,0,0,31,"Hummel, Joseph E",173
2021,Fall,CS,251,Data Structures,2699,Computer Science,38,28,17,5,18,0,7,0,0,0,22,"Reckinger, Shanon Marie",135
2021,Fall,CS,261,Machine Organization,2699,Computer Science,44,58,41,21,43,0,0,0,0,0,44,"Theys, Mitchell D",251
2021,Fall,CS,294,Unix Terminal Bootcamp,2699,Computer Science,0,60,0,0,26,0,0,0,0,0,9,"Eriksson, Jakob L",95
2021,Fall,CS,301,Languages and Automata,2699,Computer Science,30,20,5,2,3,0,0,0,0,0,4,"McCarty, Evan",64
2021,Fall,CS,301,Languages and Automata,2699,Computer Science,30,24,8,1,4,0,0,0,0,0,3,"Sidiropoulos, Anastasios",70
2021,Fall,CS,301,Languages and Automata,2699,Computer Science,14,17,10,1,2,0,0,0,0,0,1,"Sun, Xiaorui",45
2021,Fall,CS,341,Programming Language Concepts,2699,Computer Science,72,46,28,14,5,0,6,0,0,0,6,"Solworth, Jon A",177
2021,Fall,CS,342,Software Design,2699,Computer Science,123,49,22,13,17,0,1,0,0,0,11,"Hallenbeck, Mark",236
2021,Fall,CS,361,Systems Programming,2699,Computer Science,32,21,18,6,1,0,0,0,0,0,6,"Polakis, Jason",84
2021,Fall,CS,361,Systems Programming,2699,Computer Science,39,47,17,6,2,0,0,0,0,0,8,"Vamanan, Balajee",119
2021,Fall,CS,362,Computer Design,2699,Computer Science,54,42,20,0,8,0,0,0,0,0,6,"Diazh, Diana Mabel",130
2021,Fall,CS,377,Communication and Ethics,2699,Computer Science,96,9,7,1,3,0,0,0,0,0,3,"Burton, Emanuelle Neuman",119
2021,Fall,CS,377,Communication and Ethics,2699,Computer Science,59,2,0,0,0,0,0,0,0,0,0,"Clayville, Kristel",61
2021,Fall,CS,394,Framework-based Development,2699,Computer Science,15,7,3,1,0,0,0,0,0,0,4,"Buy, Ugo A",30
2021,Fall,CS,411,Artificial Intelligence I,2699,Computer Science,36,16,1,1,0,0,0,0,0,0,8,"Gmytrasiewicz, Piotr",62
2021,Fall,CS,411,Artificial Intelligence I,2699,Computer Science,35,15,6,3,1,0,6,0,0,0,6,"Kash, Ian Alexander",72
2021,Fall,CS,412,Intro to Machine Learning,2699,Computer Science,27,21,4,2,0,0,0,0,0,0,2,"Tang, Wei",56
2021,Fall,CS,412,Intro to Machine Learning,2699,Computer Science,45,19,7,2,0,0,0,0,0,0,7,"Zhang, Xinhua",80
2021,Fall,CS,415,Computer Vision I,2699,Computer Science,22,20,1,1,4,0,0,0,0,0,2,"Ravi, Sathya",50
2021,Fall,CS,418,Introduction to Data Science,2699,Computer Science,62,48,16,10,1,0,0,0,0,0,2,"Mobasheri, Nasim",139
2021,Fall,CS,421,Language Processing,2699,Computer Science,62,9,5,4,1,0,0,0,0,0,7,"Parde, Natalie",88
2021,Fall,CS,422,User Interface Design,2699,Computer Science,34,35,19,2,1,0,0,0,0,0,1,"Chattopadhyay, Debaleena",92
2021,Fall,CS,425,Computer Graphics I,2699,Computer Science,8,8,2,2,1,0,0,0,0,0,3,"Bell, John T",24
2021,Fall,CS,428,Virtual and Augmented Reality,2699,Computer Science,13,4,1,1,0,0,0,0,0,0,3,"Johnson, Andrew E",22
2021,Fall,CS,440,Software Engr I,2699,Computer Science,51,26,6,2,1,0,0,0,0,0,3,"Bell, John T",89
2021,Fall,CS,441,Cloud Computing Objects,2699,Computer Science,18,22,4,3,0,0,0,0,0,0,11,"Grechanik, Mark",58
2021,Fall,CS,450,Intro to Networking,2699,Computer Science,22,5,8,3,2,0,0,0,0,0,6,"Wu, Xingbo",46
2021,Fall,CS,461,Operating Systems,2699,Computer Science,7,4,3,3,3,0,0,0,0,0,6,"Eriksson, Jakob L",26
2021,Fall,CS,474,Obj-Oriented Langs & Envs,2699,Computer Science,16,14,5,3,1,0,0,0,0,0,2,"Buy, Ugo A",41
2021,Fall,CS,474,Obj-Oriented Langs & Envs,2699,Computer Science,38,13,6,6,0,0,0,0,0,0,0,"Ganchinho de Pina, Luis Gabriel",63
2021,Fall,CS,476,Programming Language Dsgn,2699,Computer Science,22,9,5,1,0,0,0,0,0,0,2,"Mansky, William Ernest",39
2021,Fall,CS,478,Development of Mobile Apps,2699,Computer Science,28,18,5,8,4,0,0,0,0,0,0,"Hallenbeck, Mark",63
2021,Fall,CS,480,Database Systems,2699,Computer Science,53,5,2,0,0,0,0,0,0,0,1,"Diazh, Diana Mabel",61
2021,Fall,CS,480,Database Systems,2699,Computer Science,18,30,23,2,1,0,0,0,0,0,1,"Sistla, Aravinda Prasad",75
2021,Fall,CS,484,Secure Web App Development,2699,Computer Science,41,12,4,0,1,0,0,0,0,0,2,"Fulton, Christopher",60
2021,Fall,CS,494,Info. Retrieval & Web Search,2699,Computer Science,17,0,0,0,0,0,0,0,0,0,0,"Caragea, Cornelia Alexandra",17
2021,Fall,CS,494,Intro. to Cryptography,2699,Computer Science,7,2,1,0,0,0,0,0,0,0,0,"Miao, Peihan",10
2021,Fall,CS,494,Wearables Technology Lab,2699,Computer Science,6,4,0,0,0,0,0,0,0,0,0,"Hummel, Joseph E",10
2021,Fall,CS,502,Computational Biology,2699,Computer Science,28,0,0,0,0,0,0,0,0,0,1,"DasGupta, Bhaskar",29
2021,Fall,CS,520,Causal Inference and Learning,2699,Computer Science,14,1,0,0,0,0,0,0,0,0,0,"Zheleva, Elena",15
2021,Fall,CS,553,Distributed Systems,2699,Computer Science,11,3,0,0,0,0,0,0,0,0,0,"Kshemkalyani, Ajay D",14
2021,Fall,CS,554,Concurrent Computing Systms,2699,Computer Science,5,7,0,0,0,0,0,0,0,0,0,"Grechanik, Mark",12
2021,Fall,CS,583,Data Mining & Text Mining,2699,Computer Science,21,17,5,2,3,0,0,0,0,0,0,"Liu, Bing",48
2021,Fall,CS,588,Networked & Dist Syst Security,2699,Computer Science,10,0,0,0,0,0,0,0,0,0,0,"Solworth, Jon A",10
2021,Fall,CS,594,Big Data Visual. & Analytics,2699,Computer Science,27,1,0,0,0,0,0,0,0,0,1,"Miranda, Fabio",29
2021,Fall,CS,594,Foundations of Blockchains,2699,Computer Science,26,0,0,0,0,0,0,0,0,0,0,"Sidiropoulos, Anastasios",26
2021,Fall,CS,594,Soc. Robot. & Human-Robot Int.,2699,Computer Science,21,0,0,0,0,0,0,0,0,0,0,"Michaelis, Joseph",21
2022,Spring,CS,100,Discovering Computer Science,2699,Computer Science,22,7,10,2,11,0,0,0,0,0,12,"Kidane, Ellen G",64
2022,Spring,CS,107,Intro Comp & Programming,2699,Computer Science,35,29,11,10,8,0,1,0,0,0,5,"Reckinger, Scott J",99
2022,Spring,CS,109,Prog for Engineers w/MatLab,2699,Computer Science,152,61,18,6,20,0,0,0,0,0,9,"Koehler, Adam Thomas",266
2022,Spring,CS,111,Program Design I,2699,Computer Science,27,30,24,6,19,0,0,0,0,0,14,"Hayes, David P",120
2022,Spring,CS,111,Program Design I,2699,Computer Science,15,7,7,0,1,0,1,0,0,0,1,"Reed, Dale F",32
2022,Spring,CS,113,Program Design I Law & Policy,2699,Computer Science,9,13,10,1,29,0,13,0,0,0,16,"Sloan, Robert Hal",91
2022,Spring,CS,141,Program Design II,2699,Computer Science,29,48,47,29,42,0,0,0,0,0,30,"Fulton, Christopher",225
2022,Spring,CS,141,Program Design II,2699,Computer Science,42,33,31,11,9,0,0,0,0,0,4,"Kidane, Ellen G",130
2022,Spring,CS,151,Foundations of Computing,2699,Computer Science,129,103,78,29,42,0,4,0,0,0,34,"Bello Lander, Gonzalo Alejandro",419
2022,Spring,CS,211,Programming Practicum,2699,Computer Science,105,47,38,33,22,9,0,0,0,0,27,"Lillis, John P",281
2022,Spring,CS,251,Data Structures,2699,Computer Science,136,64,41,28,28,0,1,0,0,0,38,"Troy, Patrick A",336
2022,Spring,CS,261,Machine Organization,2699,Computer Science,42,57,53,37,24,0,4,0,0,0,36,"Theys, Mitchell D",253
2022,Spring,CS,294,DPI Special Topics,2699,Computer Science,12,0,0,0,0,0,0,0,0,0,0,"Hummel, Joseph E",12
2022,Spring,CS,294,Unix Terminal Bootcamp,2699,Computer Science,46,0,0,0,24,0,0,0,0,0,7,"Eriksson, Jakob L",77
2022,Spring,CS,301,Languages and Automata,2699,Computer Science,34,18,4,0,0,0,0,0,0,0,2,"DasGupta, Bhaskar",58
