Course Code,Course Title,CRN,Section Type,Time,Days,Instructor,Method
ME 321,Heat Transfer,12488,LCD - AS1,03:00 PM - 03:50 PM,MWF,"Lynch, P",Meet on campus
ME 321,Heat Transfer,39449,LCD - AS2,11:00 AM - 11:50 AM,MWF,"Jung, E",Meet on campus
ME 325,Intermediate Thermodynamics,39117,LCD,ARRANGED,,,
ME 325,Intermediate Thermodynamics,35400,LCD,09:00 AM - 09:50 AM,MWF,"Anand, S",Meet on campus
ME 325,Intermediate Thermodynamics,12491,LCD,11:00 AM - 11:50 AM,MWF,"Manafzadeh, S",Meet on campus
ME 341,Experimental Methods in Mechanical Engineering,12500,LEC - AL1,11:00 AM - 11:50 AM,MW,"Szwalek, J",Meet on campus
ME 341,Experimental Methods in Mechanical Engineering,36969,LEC - AL2,01:00 PM - 01:50 PM,MW,,Meet on campus
ME 347,Introduction to Computer-Aided Design,40150,LEC - AL,09:00 AM - 09:50 AM,MW,"Hatami Marbini, H",Meet on campus
ME 370,Mechanical Engineering Design,35401,LCD,12:00 PM - 12:50 PM,MWF,"Subramanian, A",Meet on campus
ME 370,Mechanical Engineering Design,33053,LCD,05:00 PM - 06:15 PM,TR,,Meet on campus
ME 380,Manufacturing Process Principles,12554,LCD,08:00 AM - 08:50 AM,MWF,"Shahbazian-Yassar, R",Meet on campus
