Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
IE 445,Interdisciplinary Product Development 2,4,38686,LCD,ARRANGED,0,"Scott, M",On Campus,Spring,2016,N/A,0
IE 446,Quality Control and Reliability,3,16566,LCD,09:30 AM - 10:45 AM,2,"Li, L",On Campus,Spring,2016,Morning,75
IE 446,Quality Control and Reliability,3,19267,LCD,09:30 AM - 10:45 AM,2,"Li, L",On Campus,Spring,2016,Morning,75
IE 446,Quality Control and Reliability,3,38818,LCD,12:30 PM - 01:45 PM,2,"Li, L",On Campus,Spring,2016,Afternoon,75
IE 446,Quality Control and Reliability,3,38820,LCD,12:30 PM - 01:45 PM,2,"Li, L",On Campus,Spring,2016,Afternoon,75
IE 463,Plant Layout and Materials Handling,3,16568,LCD,01:00 PM - 01:50 PM,3,"Williams, Q",On Campus,Spring,2016,Afternoon,50
IE 463,Plant Layout and Materials Handling,3,19269,LCD,01:00 PM - 01:50 PM,3,"Williams, Q",On Campus,Spring,2016,Afternoon,50
IE 466,Production Planning and Inventory Control,3,37765,LCD,11:00 AM - 11:50 AM,3,"Williams, Q",On Campus,Spring,2016,Morning,50
IE 466,Production Planning and Inventory Control,3,37766,LCD,11:00 AM - 11:50 AM,3,"Williams, Q",On Campus,Spring,2016,Morning,50
IE 472,Operations Research II,3,16570,LCD,03:00 PM - 03:50 PM,3,"Williams, Q",On Campus,Spring,2016,Afternoon,50
IE 472,Operations Research II,3,19538,LCD,03:00 PM - 03:50 PM,3,"Williams, Q",On Campus,Spring,2016,Afternoon,50
IE 494,Special Topics in Industrial Engineering,3,31472,LCD,ARRANGED,0,"Komperda, J",On Campus,Spring,2016,N/A,0
IE 494,Special Topics in Industrial Engineering,3,31909,LCD,ARRANGED,0,"Komperda, J",On Campus,Spring,2016,N/A,0
IE 499,Professional Development Seminar,0,38367,LCD,12:00 PM - 12:50 PM,1,"Darabi, H",On Campus,Spring,2016,Afternoon,50
IE 499,Professional Development Seminar,0,38365,LCD,01:00 PM - 01:50 PM,1,"Darabi, H",On Campus,Spring,2016,Afternoon,50
IE 499,Professional Development Seminar,0,38366,LCD,03:00 PM - 03:50 PM,1,"Darabi, H",On Campus,Spring,2016,Afternoon,50
IE 511,Mechatronics II,4,21798,LEC,05:30 PM - 06:45 PM,2,"Cetinkunt, S",On Campus,Spring,2016,Evening,75
IE 567,Data Mining for Machine Health Diagnosis and Prognosis,4,33583,LCD,04:00 PM - 04:50 PM,3,"He, D",On Campus,Spring,2016,Afternoon,50
IE 594,Current Topics in Industrial Engineering,4,34907,LCD,03:30 PM - 04:45 PM,2,"Banerjee, P",On Campus,Spring,2016,Afternoon,75
IE 594,Current Topics in Industrial Engineering,4,32489,LCD,06:00 PM - 08:30 PM,1,"Pan, Y",On Campus,Spring,2016,Evening,150
IE 201,Financial Engineering,3,19819,LCD,01:00 PM - 03:55 PM,4,"Darabi, H",On Campus,Summer,2016,Afternoon,175
IE 342,Probability and Statistics for Engineers,3,17226,LCD,10:00 AM - 12:30 PM,2,"He, D",On Campus,Summer,2016,Morning,150
IE 201,Financial Engineering,3,12747,LCD,11:00 AM - 11:50 AM,3,"Banerjee, P",On Campus,Fall,2016,Morning,50
IE 312,Dynamic Systems and Control,3,22491,LCD,03:00 PM - 03:50 PM,3,"Berniker, M",On Campus,Fall,2016,Afternoon,50
IE 342,Probability and Statistics for Engineers,3,12762,LCD,03:00 PM - 03:50 PM,3,"Manafzadeh, S",On Campus,Fall,2016,Afternoon,50
IE 365,Work Productivity Analysis,4,12769,LCD,04:00 PM - 04:50 PM,3,"Williams, Q",On Campus,Fall,2016,Afternoon,50
IE 380,Manufacturing Process Principles,3,12770,LCD,09:00 AM - 09:50 AM,3,"Abiade, J",On Campus,Fall,2016,Morning,50
IE 396,Senior Design I,0,12774,LCD,09:30 AM - 10:20 AM,2,"Brown, M",On Campus,Fall,2016,Morning,50
IE 396,Senior Design I,0,37915,LCD,12:00 PM - 12:50 PM,2,"Komperda, J",On Campus,Fall,2016,Afternoon,50
IE 396,Senior Design I,0,40061,LCD,03:00 PM - 03:50 PM,2,"Brown, M",On Campus,Fall,2016,Afternoon,50
