Course Code,Course Title,Credits,CRN,Section Type,Time,Days per Week,Instructor,Method,Semester,Year,Time of Day,Duration of Class (minutes)
CS 377,Communication and Ethical Issues in Computing,3,41964,LCD - AS3,03:30 PM - 04:20 PM,2,"Burton, E",Meet on campus,Spring,2023,Afternoon,50
CS 377,Communication and Ethical Issues in Computing,3,41965,LCD - AS4,05:00 PM - 05:50 PM,2,"Burton, E",Meet on campus,Spring,2023,Evening,50
CS 377,Communication and Ethical Issues in Computing,3,36312,LCD - BS1,10:00 AM - 10:50 AM,2,"Clayville, K",Meet on campus,Spring,2023,Morning,50
CS 377,Communication and Ethical Issues in Computing,3,38111,LCD - BS2,11:00 AM - 11:50 AM,2,"Clayville, K",Meet on campus,Spring,2023,Morning,50
CS 394,Special Topics in Computer Science,3,44912,LCD,02:00 PM - 05:00 PM,1,"Hallenbeck, M",Meet on campus,Spring,2023,Afternoon,180
CS 401,Computer Algorithms I,4,17454,LCD,11:00 AM - 11:50 AM,3,"Turan, G",Meet on campus,Spring,2023,Morning,50
CS 401,Computer Algorithms I,4,20665,LCD,11:00 AM - 11:50 AM,3,"Turan, G",Meet on campus,Spring,2023,Morning,50
CS 401,Computer Algorithms I,4,43262,LCD,12:30 PM - 01:45 PM,2,"Kshemkalyani, A",Meet on campus,Spring,2023,Afternoon,75
CS 401,Computer Algorithms I,4,43263,LCD,12:30 PM - 01:45 PM,2,"Kshemkalyani, A",Meet on campus,Spring,2023,Afternoon,75
CS 401,Computer Algorithms I,4,41266,LCD,01:00 PM - 01:50 PM,3,"DasGupta, B",Meet on campus,Spring,2023,Afternoon,50
CS 401,Computer Algorithms I,4,41267,LCD,01:00 PM - 01:50 PM,3,"DasGupta, B",Meet on campus,Spring,2023,Afternoon,50
CS 401,Computer Algorithms I,4,43452,LCD,03:30 PM - 04:45 PM,2,"Sun, X",Meet on campus,Spring,2023,Afternoon,75
CS 401,Computer Algorithms I,4,43453,LCD,03:30 PM - 04:45 PM,2,"Sun, X",Meet on campus,Spring,2023,Afternoon,75
CS 407,Economics and Computation,4,44387,LEC,12:30 PM - 01:45 PM,2,"Kash, I",Meet on campus,Spring,2023,Afternoon,75
CS 407,Economics and Computation,4,44388,LEC,12:30 PM - 01:45 PM,2,"Kash, I",Meet on campus,Spring,2023,Afternoon,75
CS 411,Artificial Intelligence I,4,38549,LCD,09:00 AM - 09:50 AM,3,"Gmytrasiewicz, P",Meet on campus,Spring,2023,Morning,50
CS 411,Artificial Intelligence I,4,38550,LCD,09:00 AM - 09:50 AM,3,"Gmytrasiewicz, P",Meet on campus,Spring,2023,Morning,50
CS 411,Artificial Intelligence I,4,44910,LCD,09:30 AM - 10:45 AM,2,"Kash, I",Meet on campus,Spring,2023,Morning,75
CS 411,Artificial Intelligence I,4,44911,LCD,09:30 AM - 10:45 AM,2,"Kash, I",Meet on campus,Spring,2023,Morning,75
CS 418,Introduction to Data Science,4,41110,LEC,11:00 AM - 12:15 PM,2,"Diaz Herrera, D",Meet on campus,Spring,2023,Morning,75
CS 418,Introduction to Data Science,4,41111,LEC,11:00 AM - 12:15 PM,2,"Diaz Herrera, D",Meet on campus,Spring,2023,Morning,75
CS 418,Introduction to Data Science,4,43230,LEC,12:30 PM - 01:45 PM,2,"Ziebart, B",Meet on campus,Spring,2023,Afternoon,75
CS 418,Introduction to Data Science,4,43231,LEC,12:30 PM - 01:45 PM,2,"Ziebart, B",Meet on campus,Spring,2023,Afternoon,75
CS 422,User Interface Design and Programming,4,19650,LCD,09:30 AM - 10:45 AM,2,"Soni, N",Meet on campus,Spring,2023,Morning,75
CS 422,User Interface Design and Programming,4,20669,LCD,09:30 AM - 10:45 AM,2,"Soni, N",Meet on campus,Spring,2023,Morning,75
CS 425,Computer Graphics I,4,44389,LCD - AS1,11:00 AM - 12:15 PM,1,"Bell, J",Meet on campus,Spring,2023,Morning,75
CS 425,Computer Graphics I,4,44391,LCD - AS2,11:00 AM - 12:15 PM,1,"Bell, J",Meet on campus,Spring,2023,Morning,75
CS 427,Creative Coding,4,45607,LCD,01:00 PM - 03:40 PM,1,"Kerne, A",On Campus,Spring,2023,Afternoon,160
CS 427,Creative Coding,4,45608,LCD,01:00 PM - 03:40 PM,1,"Kerne, A",On Campus,Spring,2023,Afternoon,160
CS 440,Software Engineering I,4,29904,LCD,12:00 PM - 12:50 PM,3,"Bell, J",Meet on campus,Spring,2023,Afternoon,50
CS 440,Software Engineering I,4,29905,LCD,12:00 PM - 12:50 PM,3,"Bell, J",Meet on campus,Spring,2023,Afternoon,50
CS 442,Software Engineering II,4,33785,LEC,10:00 AM - 10:50 AM,3,"Bell, J",Meet on campus,Spring,2023,Morning,50
CS 442,Software Engineering II,4,33786,LEC,10:00 AM - 10:50 AM,3,"Bell, J",Meet on campus,Spring,2023,Morning,50
CS 450,Introduction to Networking,4,17432,LEC,11:00 AM - 12:15 PM,2,"Kshemkalyani, A",Meet on campus,Spring,2023,Morning,75
